name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,avg_post_voice,avg_video_voice,avg_short_voice,avg_live_voice
愛吃の莉莉,ig,26.0,0.0,412.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,2568.0,88.0,0.0,26849.0,0.0,23.0,0.0,0.0,280.0,10000.0,25000.0,2000.0,81000.0,,7.9230766183432069,2700000.0,1236.8397526320493,62900000.0
a_li_makeup,ig,27.0,0.0,437.0,0.0,0.0,0.0,120.0,1.0,0.0,838.0,5.0,4016.0,119.0,0.0,55541.0,0.0,23.0,0.0,0.0,313.0,14000.0,26000.0,6000.0,83000.0,,8.0925922928669518,204100000.00000003,2474.4995051000988,69500000.0
小喬 Mimi |mimi___108|小喬|Mimi,ig,27.0,0.0,442.0,0.0,0.0,0.0,62.0,1.0,0.0,435.0,5.0,3574.0,106.0,0.0,42490.0,0.0,23.0,0.0,0.0,299.0,8000.0,25000.0,1000.0,81000.0,,8.1851848820301889,106100000.0,1924.639615072077,66700000.000000007
廖冠皓|hao_1007,ig,27.0,0.0,442.0,0.0,0.0,0.0,62.0,1.0,0.0,435.0,5.0,3574.0,106.0,0.0,42490.0,0.0,23.0,0.0,0.0,299.0,8000.0,25000.0,1000.0,81000.0,,8.1851848820301889,106100000.0,1924.639615072077,66700000.000000007
玉媽咪好食生活誌|小玉媽咪|xoxo7522,ig,27.0,0.0,442.0,0.0,0.0,0.0,62.0,1.0,0.0,435.0,5.0,3574.0,106.0,0.0,42490.0,0.0,23.0,0.0,0.0,299.0,8000.0,25000.0,1000.0,81000.0,,8.1851848820301889,106100000.0,1924.639615072077,66700000.000000007
魚刺|FishBone,ig,27.0,0.0,442.0,0.0,0.0,0.0,62.0,1.0,0.0,435.0,5.0,3574.0,106.0,0.0,42490.0,0.0,23.0,0.0,0.0,299.0,8000.0,25000.0,1000.0,81000.0,,8.1851848820301889,106100000.0,1924.639615072077,66700000.000000007
leonliu0822,ig,26.0,0.0,433.0,0.0,0.0,0.0,58.0,1.0,0.0,403.0,5.0,3374.0,104.0,0.0,41659.0,0.0,23.0,0.0,0.0,300.0,11000.0,25000.0,3000.0,82000.0,,8.3269227566568169,98500000.0,1879.1996241600755,66900000.000000007
美食水水|tainan_food33,ig,26.0,0.0,433.0,0.0,0.0,0.0,58.0,1.0,0.0,403.0,5.0,3374.0,104.0,0.0,41659.0,0.0,23.0,0.0,0.0,300.0,11000.0,25000.0,3000.0,82000.0,,8.3269227566568169,98500000.0,1879.1996241600755,66900000.000000007
鹿鹿,ig,26.0,0.0,433.0,0.0,0.0,0.0,58.0,1.0,0.0,403.0,5.0,3374.0,104.0,0.0,41659.0,0.0,23.0,0.0,0.0,300.0,11000.0,25000.0,3000.0,82000.0,,8.3269227566568169,98500000.0,1879.1996241600755,66900000.000000007
鄭安妤,ig,25.0,0.0,390.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,5.0,3188.0,91.0,0.0,31626.0,0.0,23.0,0.0,0.0,269.0,2000.0,25000.0,5000.0,74000.0,,7.7999996880000122,2500000.0,1465.4197069160587,60700000.000000007
