name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,total_post_sum_1m,total_post_sum_2m,total_post_sum_3m,total_post_sum_4m,total_post_sum_5m,total_post_sum_6m,advertise_total_post_sum_1m,advertise_total_post_sum_2m,advertise_total_post_sum_3m,advertise_total_post_sum_4m,advertise_total_post_sum_5m,advertise_total_post_sum_6m,social_vol_1m,social_vol_2m,social_vol_3m,social_vol_4m,social_vol_5m,social_vol_6m,impute,avg_post_voice_1m,avg_post_voice_2m,avg_post_voice_3m,avg_post_voice_4m,avg_post_voice_5m,avg_post_voice_6m,max_value,min_value,scaled_voice_m1,scaled_voice_m2,scaled_voice_m3,scaled_voice_m4,scaled_voice_m5,scaled_voice_m6,mean,stdev
陳翊萱 Amily,fb,15.0,3099.0,328.0,27.0,0.0,2.0,314.0,38.0,24.0,92158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44000.0,18000.0,32000.0,116000.0,204000.0,2.0,1.0,3.0,5.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,3.0,37.0,32.0,77.0,1888.0,46.0,38.0,false,18.5,32.0,25.666666666666668,377.6,15.333333333333334,12.666666666666666,377.6,12.666666666666666,0.0159846547314578,0.052977712824260142,0.03562294483010596,1.0,0.0073072707343807119,0.0,0.18531543052003407,0.893495206989928
貝姬 Becky,fb,15.0,22488.0,98.0,1628.0,0.0,3.0,2432.0,33.0,73.0,6160.0,0.0,0.0,0.0,0.0,0.0,1.0,479.0,5.0,0.0,2173.0,106000.0,31000.0,32000.0,211000.0,154000.0,4.0,4.0,2.0,6.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,194.0,224.0,941.0,257.0,416.0,711.0,false,48.5,56.0,470.5,42.833333333333336,208.0,711.0,711.0,42.833333333333336,0.0084809179346470413,0.019705662259915189,0.64005986530306813,0.0,0.24719381391868298,1.0,0.31924004323605221,0.9272305110777056
郭念修,ig,17.0,9453.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1674.0,69.0,0.0,13121.0,0.0,0.0,0.0,0.0,0.0,10000.0,18000.0,1000.0,82000.0,,1.0,2.0,7.0,4.0,5.0,5.0,0.0,2.0,2.0,3.0,2.0,2.0,133.0,387.0,336.0,165.0,361.0,130.0,false,133.0,193.5,48.0,41.25,72.2,26.0,193.5,26.0,0.63880597014925378,1.0,0.13134328358208955,0.091044776119402981,0.27582089552238809,0.0,0.35616915422885581,0.86518879139831
處女座媽媽,ig,17.0,235310.0,943.0,0.0,0.0,0.0,94.0,1.0,0.0,440.0,3.0,14105.0,108.0,0.0,139281.0,0.0,41.0,1.0,0.0,515.0,161000.0,20000.0,105000.0,133000.0,,3.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2401.0,5320.0,2692.0,2802.0,3470.0,2236.0,true,800.33333333333337,1773.3333333333333,538.4,700.5,867.5,745.33333333333337,1773.3333333333333,538.4,0.21210321744763555,1.0,0.0,0.13126214640466424,0.26649211833297343,0.16756640034549777,0.29623731375512846,0.79672755520542593
YCC,ig,18.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,922.0,0.0,0.0,0.0,0.0,0.0,8000.0,17000.0,2000.0,81000.0,,2.0,5.0,3.0,6.0,0.0,3.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,2.0,31.0,0.0,1.0,true,1.0,0.2,0.66666666666666663,5.166666666666667,0.0,0.33333333333333331,5.166666666666667,0.0,0.19354838709677419,0.03870967741935484,0.12903225806451613,1.0,0.0,0.064516129032258063,0.23763440860215054,0.84908798065338609
樂樂㋡,ig,18.0,657.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3112.0,507.0,0.0,10135.0,0.0,0.0,0.0,0.0,0.0,26000.0,18000.0,6000.0,90000.0,,0.0,3.0,3.0,7.0,11.0,5.0,0.0,1.0,2.0,7.0,10.0,2.0,218.0,50.0,207.0,62.0,222.0,86.0,true,0.0,16.666666666666668,69.0,8.8571428571428577,20.181818181818183,17.2,69.0,0.0,0.0,0.24154589371980678,1.0,0.12836438923395446,0.29249011857707513,0.24927536231884057,0.31861262730827949,0.78321547050541562
Rosa Chen,ig,18.0,1383.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1486.0,26.0,0.0,13434.0,0.0,0.0,0.0,0.0,0.0,1000.0,24000.0,12000.0,70000.0,,7.0,7.0,1.0,5.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,7.0,5.0,4.0,5.0,3.0,false,0.2857142857142857,1.0,5.0,0.8,2.5,0.75,5.0,0.2857142857142857,0.0,0.15151515151515152,1.0,0.1090909090909091,0.46969696969696972,0.098484848484848481,0.30479797979797979,0.84128551953243647
Suckdidi,ig,18.0,867236.0,2994.0,0.0,0.0,0.0,117.0,1.0,0.0,471.0,1.0,47449.0,233.0,0.0,396770.0,0.0,55.0,0.0,0.0,773.0,491000.0,18000.0,210000.0,310000.0,,5.0,0.0,5.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,7530.0,14435.0,7932.0,8968.0,11302.0,6589.0,true,1506.0,0.0,1586.4,2242.0,5651.0,1647.25,5651.0,0.0,0.266501504158556,0.0,0.28072907450008849,0.39674393912581846,1.0,0.29149708016280307,0.37257859965787765,0.747876519504931
莫里斯,ig,18.0,0.0,105.0,0.0,0.0,2.0,351.0,0.0,0.0,0.0,10.0,877.0,12.0,0.0,0.0,1.0,48.0,2.0,0.0,507.0,1000.0,23000.0,63000.0,32000.0,,4.0,6.0,3.0,6.0,5.0,5.0,4.0,6.0,3.0,6.0,4.0,4.0,0.0,0.0,194.0,0.0,0.0,439.0,true,0.0,0.0,64.666666666666671,0.0,0.0,87.8,87.8,0.0,0.0,0.0,0.73652239939255892,0.0,0.0,1.0,0.28942039989875984,1.0197451826518347
Suck didi,ig,19.0,892183.0,3115.0,0.0,0.0,0.0,102.0,1.0,0.0,314.0,1.0,48759.0,222.0,0.0,396277.0,0.0,62.0,0.0,0.0,845.0,491000.0,13000.0,210000.0,310000.0,,5.0,0.0,5.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,7553.0,14170.0,7960.0,9012.0,11344.0,6698.0,true,1510.6,0.0,1592.0,2253.0,5672.0,1674.5,5672.0,0.0,0.2663258110014104,0.0,0.28067700987306066,0.39721438645980256,1.0,0.29522214386459805,0.3732398918664786,0.74752679097975094
李靜,ig,20.0,2738.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,340.0,8.0,0.0,1466.0,0.0,0.0,0.0,0.0,0.0,3000.0,24000.0,38000.0,57000.0,,6.0,2.0,3.0,6.0,5.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,51.0,34.0,30.0,46.0,50.0,270.0,false,8.5,17.0,10.0,7.666666666666667,10.0,270.0,270.0,7.666666666666667,0.0031766200762388809,0.035578144853875476,0.0088945362134688691,0.0,0.0088945362134688691,1.0,0.17609063955950868,0.9029876194125791
江 溫 蒂,ig,20.0,39033.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1546.0,25.0,0.0,9211.0,0.0,0.0,0.0,0.0,0.0,33000.0,19000.0,6000.0,96000.0,,3.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,308.0,513.0,1502.0,1159.0,498.0,316.0,false,102.66666666666667,102.6,500.66666666666669,386.33333333333331,166.0,79.0,500.66666666666669,79.0,0.056126482213438744,0.0559683794466403,1.0,0.72885375494071136,0.20632411067193676,0.0,0.34121212121212124,0.93889605722189873
宋達民和洪百榕愛的粉園,fb,20.0,167676.0,4273.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6807.0,771.0,226.0,132939.0,693000.0,180000.0,120000.0,250000.0,38000.0,6.0,1.0,6.0,4.0,2.0,5.0,5.0,0.0,3.0,2.0,2.0,3.0,1973.0,1224.0,2111.0,1795.0,3022.0,2207.0,false,328.83333333333331,1224.0,351.83333333333331,448.75,1511.0,441.4,1511.0,328.83333333333331,0.0,0.75722543352601157,0.01945580149443113,0.10143803750176231,1.0,0.095220640067672349,0.32888998543164621,0.97165518371188764
身心科 李旻珊醫師,fb,21.0,10008.0,464.0,123.0,0.0,11.0,4453.0,172.0,102.0,213502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,17000.0,37000.0,243000.0,238000.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,68.0,4243.0,178.0,95.0,155.0,107.0,false,13.6,848.6,29.666666666666668,19.0,31.0,17.833333333333332,848.6,13.6,0.0,1.0,0.019241516966067868,0.0064670658682634734,0.020838323353293411,0.0050698602794411168,0.17526946107784427,0.903634712812883
凱特愛跟瘋,fb,21.0,1602.0,273.0,11.0,1289.0,11.0,1636.0,63.0,312.0,89876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,2000.0,179000.0,122000.0,7.0,3.0,5.0,6.0,8.0,4.0,5.0,2.0,1.0,6.0,5.0,4.0,30.0,196.0,30.0,1430.0,43.0,77.0,false,4.2857142857142856,65.333333333333329,6.0,238.33333333333334,5.375,19.25,238.33333333333334,4.2857142857142856,0.0,0.26083418107833162,0.0073245167853509662,1.0,0.00465412004069176,0.063936927772126145,0.22279162427941676,0.87998924029607839
徐海莉,ig,21.0,178461.0,879.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,4.0,11038.0,81.0,0.0,91906.0,0.0,43.0,0.0,0.0,514.0,107000.0,16000.0,68000.0,114000.0,,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1595.0,3235.0,1874.0,1865.0,2267.0,1727.0,true,398.75,808.75,374.8,373.0,453.4,431.75,808.75,373.0,0.059093516924842229,1.0,0.004130808950086085,0.0,0.18450946643717722,0.13482501434308664,0.23042646777586537,0.85857585146142
彭千祐,ig,21.0,41406.0,396.0,0.0,0.0,0.0,89.0,1.0,0.0,628.0,5.0,4801.0,123.0,0.0,76477.0,0.0,17.0,0.0,0.0,249.0,67000.0,32000.0,41000.0,101000.0,,4.0,5.0,6.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,939.0,2894.0,1213.0,1040.0,1222.0,931.0,true,234.75,578.8,202.16666666666666,208.0,244.4,232.75,578.8,202.16666666666666,0.086512080715107562,1.0,0.0,0.015488096291707255,0.1121338171519604,0.0812018762722365,0.21588931173850193,0.86443206173652243
處女座媽媽的瑣碎日常,ig,21.0,37595.0,380.0,0.0,0.0,0.0,74.0,1.0,0.0,528.0,5.0,4449.0,119.0,0.0,72193.0,0.0,16.0,0.0,0.0,242.0,65000.0,32000.0,40000.0,100000.0,,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,905.0,2827.0,1173.0,997.0,1171.0,905.0,true,226.25,565.4,234.6,199.4,234.2,226.25,565.4,199.4,0.073360655737704908,1.0,0.096174863387978107,0.0,0.09508196721311471,0.073360655737704908,0.22299635701275045,0.854803781584754
巨鳥胃77,ig,21.0,51729.0,434.0,0.0,0.0,0.0,64.0,1.0,0.0,435.0,5.0,5107.0,114.0,0.0,73039.0,0.0,20.0,0.0,0.0,271.0,68000.0,30000.0,42000.0,101000.0,,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,958.0,2817.0,1227.0,1065.0,1255.0,982.0,true,239.5,563.4,245.4,213.0,251.0,245.5,563.4,213.0,0.075627853881278545,1.0,0.092465753424657557,0.0,0.10844748858447489,0.092751141552511421,0.22821537290715374,0.8497879625481547
3個小妞真可艾（同卵三胞胎）,fb,21.0,11023.0,880.0,36.0,0.0,6.0,3095.0,55.0,10.0,98611.0,0.0,0.0,0.0,0.0,0.0,1.0,567.0,0.0,0.0,12770.0,21000.0,5000.0,8000.0,258000.0,127000.0,3.0,1.0,3.0,5.0,8.0,11.0,3.0,1.0,2.0,4.0,8.0,11.0,35.0,1073.0,438.0,306.0,128.0,885.0,false,11.666666666666666,1073.0,146.0,61.2,16.0,80.454545454545453,1073.0,11.666666666666666,0.0,1.0,0.126570351758794,0.046670854271356789,0.0040829145728643228,0.064812699862951115,0.20702280341099433,0.87479422268600637
黃芯,ig,22.0,4853.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,584.0,63.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0,8000.0,28000.0,2000.0,80000.0,,5.0,4.0,2.0,6.0,3.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,47.0,104.0,99.0,173.0,24.0,115.0,false,9.4,26.0,49.5,28.833333333333332,8.0,28.75,49.5,8.0,0.033734939759036152,0.43373493975903615,1.0,0.50200803212851408,0.0,0.5,0.41157965194109769,0.82151643264035379
